Route_ID,Starting_Point,Ending_Point,Intermediate_Stops,Distance,Estimated_Travel_Time,Type_of_Transportation,Frequency_of_Service,Time_Schedule,Days_of_Operation,Special_Schedules
R1,Adamstad,Stewartland,"['North Patrickstad', 'Middletonton', 'Wallville']",10.799056744146124,18,subway,1,07:05:17,Weekdays,Should recognize whose medical bring adult list boy.
R2,Brookeburgh,New Lindaport,"['Youngberg', 'Jasonville']",9.271332635268877,49,bus,1,09:16:09,Weekends,
R3,Port Patrickstad,Josephmouth,"['South Alexandriahaven', 'Lake Madison', 'Scottland', 'Salazarburgh', 'New Erictown']",15.774874030003813,17,tram,1,03:53:52,Weekends,
R4,West Melissa,Sanchezstad,['West Sean'],15.439268966419705,16,tram,2,19:11:59,Weekdays,Into involve clear left.
R5,South Justinborough,Port Kathleenburgh,"['Port Aaronfurt', 'Ellisfurt', 'South Nathanielhaven']",6.503154939207713,34,tram,4,22:23:10,Weekends,
R6,Thomasberg,Grayburgh,"['New Jasonside', 'New Thomas', 'Campbellborough', 'Carrbury', 'Port Sarah']",6.248293368223858,48,bus,4,20:29:43,Weekends,Dinner sit assume around walk.
R7,Ashleyport,Meredithmouth,"['North Albertland', 'Robertborough', 'Christietown', 'Kingtown']",15.098504825849536,59,tram,3,01:29:49,Weekends,Create there place north together.
R8,Kimberlyfort,Reedmouth,"['Robertland', 'South Jessicashire', 'Johnsonland']",18.21769899622126,60,subway,1,07:37:45,Weekdays,Guess do guess else than past least.
R9,Brittneyberg,Scottland,"['Lake Laurastad', 'Port Yvonne', 'Tammychester']",8.524188987205608,60,bus,4,11:29:46,Weekdays,
R10,West Derekfort,South Kevinfort,"['Deborahberg', 'Paulfurt', 'Garyton', 'New Kevin', 'Lake Carolynburgh']",13.013036401306312,60,subway,4,05:09:49,Weekdays,
R11,Rebeccachester,North David,"['Stoutshire', 'North Brian', 'Lake Rachel']",12.56485524061454,38,tram,1,23:47:45,Weekdays,
R12,Garciaville,Lake Samuel,"['Kevinview', 'Lake Stephaniemouth', 'Port Matthew', 'Ryanmouth']",12.090965981247454,31,bus,3,06:31:32,Weekdays,Official gas save continue north total.
R13,Hollandchester,West Robertton,['South Charlesfort'],16.14433320875515,40,tram,5,13:16:48,Weekends,Company kitchen possible job resource investment.
R14,Noahfort,Mcphersonton,"['West David', 'Lake Eric', 'Jonesburgh', 'North Samuel', 'Powersfort']",13.950798364807914,41,subway,1,03:36:07,Weekdays,
R15,Hendersonland,South Brookefort,"['Carrillohaven', 'Port Edward', 'Port James', 'Port Justin']",9.904958168017187,39,subway,2,14:50:17,Weekdays,
R16,Laurafurt,East Daniel,['West Alexandraburgh'],11.37734817254432,47,subway,3,19:04:28,Weekends,
R17,South Patriciahaven,South Brenda,"['Taylorfurt', 'Payneborough', 'Mcclainhaven', 'North Kyle', 'West Amandamouth']",17.231835459420388,37,bus,3,02:06:10,Weekdays,
R18,Nolantown,Port Brent,"['Kennedyshire', 'Brownstad', 'New Paige', 'East Edward', 'Billyfort']",13.028471942788633,58,subway,3,12:51:52,Weekdays,Behavior voice trade about guess.
R19,Joelchester,Reyesberg,"['New Kathrynport', 'Holtberg', 'New Benjaminburgh', 'Jeremyville', 'North Crystalton']",16.889040063325155,32,tram,4,02:14:21,Weekends,
R20,Dixontown,New Antonio,"['Higginstown', 'Michaelport']",15.384375773223715,28,subway,3,13:46:57,Weekends,
R21,Huntport,Carrhaven,['Brianside'],11.339597201398842,20,tram,4,05:35:22,Weekends,Test ahead sometimes management trial well.
R22,Parrishton,Ricefort,['East Mckenzietown'],17.823825346872063,47,tram,2,03:35:36,Weekends,
R23,Lorifort,Lake Robertstad,"['Chavezport', 'East Carol', 'Port Anne']",7.203036242093713,19,bus,3,14:40:32,Weekends,
R24,Sydneymouth,West Vincent,"['Matthewland', 'Jonathanborough', 'Donaldville', 'North Alex', 'Reynoldstown']",15.794086475428726,53,tram,3,10:44:03,Weekdays,Simple radio music view through.
R25,North Lindafort,Michealshire,"['South Christiantown', 'Lake Alishabury', 'Diazview']",19.469311023081595,27,subway,2,12:30:14,Weekdays,
R26,Lake Nathanielville,Jenkinshaven,"['North James', 'Michelletown']",17.28735205386029,55,tram,2,05:58:47,Weekends,
R27,Thompsonbury,South Amyborough,"['Jacquelineshire', 'South Brendaberg', 'Kristieside', 'Lake Sarahbury', 'Jacksonshire']",15.081329945630074,41,bus,3,21:31:07,Weekends,Parent example find fast.
R28,South Annastad,West Tonyaport,"['North Katherine', 'New Kimberlyshire']",12.556089139834487,40,bus,1,23:52:10,Weekends,Place subject open war already hand.
R29,North Davidburgh,East Heatherview,"['Lake Patricia', 'Port Aliciaside', 'Riverafurt']",6.018904380264095,50,tram,2,03:23:15,Weekdays,
R30,Leonardview,Port Megan,['Thomasfurt'],19.985746394879563,42,subway,2,11:14:24,Weekends,Others strong recently parent American.
R31,East Rachel,South Danielle,"['Aaronburgh', 'East Austinside', 'Rasmussenborough']",18.408239355587042,55,subway,4,00:39:41,Weekends,Father make food personal type claim especially.
R32,Lake Coltonhaven,East Krystal,"['Lake Susan', 'West Christina', 'Brittanyville']",9.780624432361028,15,subway,2,17:49:19,Weekdays,Arrive kitchen manager here animal medical.
R33,Andrewmouth,South Julie,"['Armstrongfurt', 'Johnville', 'East Janeshire', 'Ashleyhaven']",12.678518407075792,52,subway,5,01:13:54,Weekdays,Board people level true cultural may.
